return_period_yr,agg_n_cells,agg_events
1.031800078416806,1524,98
1.031778786628147,1524,98
1.0317574957182063,1524,98
1.03173620568693,1524,98
1.0317149165342632,1524,98
1.0316936282601519,1524,98
1.0316723408645414,1524,98
1.0316510543473776,1524,98
1.0316297687086058,1524,98
1.031608483948172,1524,98
1.0315872000660216,1524,98
1.0315659170621003,1524,98
1.0315446349363537,1523,98
1.0315233536887276,1523,98
1.0315020733191673,1523,98
1.031480793827619,1523,98
1.0314595152140278,1523,98
1.0314382374783397,1523,98
1.0314169606205004,1523,98
1.0313956846404555,1523,98
1.0313744095381505,1523,98
1.0313531353135315,1523,98
1.0313318619665437,1523,98
1.031310589497133,1522,98
1.0312893179052451,1522,98
1.0312680471908258,1522,98
1.0312467773538208,1522,98
1.0312255083941757,1522,98
1.0312042403118362,1522,98
1.0311829731067481,1522,98
1.031161706778857,1522,98
1.031140441328109,1522,98
1.0311191767544492,1522,98
1.031097913057824,1521,98
1.0310766502381787,1521,98
1.0310553882954592,1521,98
1.0310341272296113,1521,98
1.0310128670405807,1521,98
1.030991607728313,1521,98
1.0309703492927544,1521,98
1.0309490917338502,1521,98
1.0309278350515463,1521,98
1.0309065792457888,1520,98
1.030885324316523,1520,98
1.030864070263695,1520,98
1.0308428170872506,1520,98
1.0308215647871353,1520,98
1.0308003133632953,1520,98
1.030779062815676,1520,98
1.0307578131442237,1520,98
1.0307365643488837,1519,98
1.0307153164296021,1519,98
1.0306940693863247,1519,98
1.0306728232189974,1519,98
1.0306515779275658,1519,98
1.030630333511976,1519,98
1.0306090899721736,1519,98
1.0305878473081045,1519,98
1.0305666055197147,1519,98
1.03054536460695,1519,98
1.0305241245697563,1518,98
1.030502885408079,1518,98
1.0304816471218647,1518,98
1.030460409711059,1518,98
1.0304391731756075,1518,98
1.0304179375154563,1518,98
1.0303967027305512,1518,98
1.0303754688208384,1518,98
1.0303542357862634,1517,98
1.0303330036267722,1517,98
1.0303117723423107,1517,98
1.030290541932825,1517,98
1.030269312398261,1517,98
1.0302480837385641,1517,98
1.030226855953681,1517,98
1.030205629043557,1517,98
1.0301844030081384,1517,98
1.030163177847371,1517,98
1.0301419535612006,1517,98
1.0301207301495736,1517,98
1.0300995076124353,1517,98
1.0300782859497322,1517,98
1.03005706516141,1517,98
1.0300358452474145,1517,98
1.0300146262076921,1517,98
1.0299934080421886,1516,98
1.0299721907508497,1516,98
1.0299509743336217,1516,98
1.0299297587904506,1516,98
1.029908544121282,1516,98
1.0298873303260623,1516,98
1.0298661174047374,1516,98
1.0298449053572531,1516,98
1.0298236941835557,1516,98
1.029802483883591,1515,98
1.0297812744573052,1515,98
1.0297600659046442,1515,98
1.029738858225554,1515,98
1.0297176514199806,1515,98
1.02969644548787,1515,98
1.0296752404291687,1515,98
1.029654036243822,1515,98
1.0296328329317765,1515,98
1.029611630492978,1515,98
1.0295904289273727,1514,98
1.0295692282349065,1514,98
1.0295480284155256,1514,98
1.029526829469176,1514,98
1.0295056313958038,1514,98
1.029484434195355,1514,98
1.0294632378677757,1513,98
1.0294420424130122,1513,98
1.0294208478310103,1513,98
1.0293996541217163,1513,98
1.029378461285076,1513,98
1.029357269321036,1513,98
1.029336078229542,1513,98
1.0293148880105403,1513,98
1.0292936986639767,1513,98
1.029272510189798,1513,98
1.0292513225879496,1512,98
1.029230135858378,1512,98
1.0292089500010293,1512,98
1.0291877650158494,1512,98
1.029166580902785,1512,98
1.0291453976617817,1512,98
1.0291242152927857,1512,98
1.0291030337957436,1512,98
1.0290818531706012,1512,98
1.0290606734173047,1512,98
1.0290394945358003,1512,98
1.0290183165260343,1511,98
1.0289971393879525,1511,98
1.0289759631215014,1511,98
1.0289547877266272,1511,98
1.028933613203276,1511,98
1.0289124395513942,1511,98
1.0288912667709276,1511,98
1.0288700948618228,1511,98
1.0288489238240257,1510,98
1.0288277536574826,1510,98
1.02880658436214,1510,98
1.0287854159379437,1510,98
1.02876424838484,1510,98
1.0287430817027756,1510,98
1.0287219158916963,1510,98
1.0287007509515482,1510,98
1.028679586882278,1510,98
1.0286584236838316,1509,98
1.0286372613561554,1509,98
1.0286160998991956,1509,98
1.0285949393128986,1509,98
1.0285737795972105,1509,98
1.0285526207520777,1509,98
1.0285314627774464,1509,98
1.0285103056732627,1509,98
1.0284891494394734,1508,98
1.0284679940760244,1508,98
1.0284468395828619,1508,98
1.0284256859599326,1508,98
1.0284045332071823,1508,98
1.0283833813245578,1508,98
1.028362230312005,1508,98
1.0283410801694706,1508,98
1.0283199308969007,1508,98
1.0282987824942416,1508,98
1.0282776349614395,1508,98
1.028256488298441,1508,98
1.0282353425051927,1508,98
1.0282141975816401,1508,98
1.0281930535277304,1507,98
1.0281719103434095,1507,98
1.0281507680286237,1507,98
1.0281296265833195,1507,98
1.0281084860074434,1507,98
1.0280873463009417,1507,98
1.0280662074637608,1507,98
1.0280450694958467,1506,98
1.0280239323971463,1506,98
1.0280027961676055,1506,98
1.0279816608071712,1506,98
1.0279605263157894,1506,98
1.0279393926934068,1506,98
1.0279182599399697,1506,98
1.027897128055424,1506,98
1.027875997039717,1506,98
1.0278548668927947,1506,98
1.0278337376146034,1505,98
1.0278126092050897,1505,98
1.0277914816642,1505,98
1.0277703549918806,1505,98
1.027749229188078,1505,98
1.0277281042527389,1505,98
1.0277069801858094,1505,98
1.0276858569872362,1505,98
1.0276647346569656,1505,98
1.027643613194944,1505,98
1.0276224926011182,1505,98
1.027601372875434,1504,98
1.0275802540178387,1504,98
1.0275591360282785,1504,98
1.0275380189066996,1504,98
1.0275169026530486,1504,98
1.0274957872672723,1504,98
1.0274746727493167,1504,98
1.0274535590991287,1504,98
1.0274324463166546,1504,98
1.0274113344018412,1504,98
1.0273902233546346,1504,98
1.0273691131749816,1504,98
1.0273480038628284,1504,98
1.027326895418122,1504,98
1.0273057878408087,1503,98
1.027284681130835,1503,98
1.0272635752881474,1503,98
1.0272424703126926,1503,98
1.027221366204417,1503,98
1.0272002629632673,1503,98
1.02717916058919,1503,98
1.0271580590821316,1503,98
1.0271369584420387,1503,98
1.0271158586688578,1503,98
1.0270947597625357,1502,98
1.0270736617230187,1502,98
1.0270525645502537,1502,98
1.027031468244187,1502,98
1.0270103728047653,1501,98
1.0269892782319352,1501,98
1.0269681845256433,1501,98
1.0269470916858363,1501,98
1.0269259997124607,1501,98
1.0269049086054631,1501,98
1.0268838183647901,1501,98
1.0268627289903887,1501,98
1.026841640482205,1501,98
1.0268205528401857,1501,98
1.0267994660642776,1500,98
1.0267783801544275,1500,98
1.0267572951105817,1500,98
1.0267362109326872,1500,98
1.0267151276206903,1500,98
1.0266940451745379,1500,98
1.0266729635941767,1500,98
1.0266518828795532,1499,98
1.0266308030306142,1499,98
1.0266097240473062,1499,98
1.026588645929576,1499,98
1.0265675686773703,1499,98
1.0265464922906358,1499,98
1.0265254167693192,1499,98
1.026504342113367,1499,98
1.0264832683227263,1499,98
1.0264621953973436,1498,98
1.0264411233371653,1498,98
1.0264200521421387,1498,98
1.0263989818122101,1498,98
1.0263779123473262,1498,98
1.0263568437474342,1498,98
1.0263357760124803,1498,98
1.0263147091424114,1498,98
1.0262936431371743,1498,98
1.026272577996716,1498,98
1.0262515137209827,1497,98
1.0262304503099215,1497,98
1.0262093877634793,1497,98
1.0261883260816025,1496,98
1.026167265264238,1496,98
1.0261462053113328,1496,98
1.0261251462228334,1496,98
1.0261040879986867,1496,98
1.0260830306388393,1496,98
1.0260619741432382,1495,98
1.0260409185118302,1495,98
1.026019863744562,1495,98
1.0259988098413806,1495,98
1.0259777568022326,1495,98
1.0259567046270648,1495,98
1.025935653315824,1495,98
1.0259146028684571,1495,98
1.0258935532849112,1495,98
1.0258725045651327,1495,98
1.0258514567090686,1495,98
1.0258304097166657,1495,98
1.025809363587871,1494,98
1.0257883183226308,1494,98
1.0257672739208927,1494,98
1.0257462303826033,1494,98
1.0257251877077094,1494,98
1.0257041458961578,1494,98
1.0256831049478954,1494,97
1.025662064862869,1494,97
1.0256410256410255,1494,97
1.0256199872823122,1494,97
1.0255989497866753,1494,97
1.0255779131540623,1493,97
1.0255568773844197,1493,97
1.0255358424776946,1493,97
1.0255148084338337,1493,97
1.0254937752527842,1493,97
1.0254727429344928,1493,97
1.0254517114789066,1493,97
1.0254306808859721,1493,97
1.0254096511556368,1493,97
1.025388622287847,1493,97
1.0253675942825502,1492,97
1.0253465671396933,1492,97
1.0253255408592228,1492,97
1.025304515441086,1492,97
1.0252834908852297,1492,97
1.025262467191601,1492,97
1.0252414443601467,1492,97
1.0252204223908141,1492,97
1.0251994012835497,1492,97
1.0251783810383006,1492,97
1.025157361655014,1492,97
1.0251363431336367,1491,97
1.0251153254741159,1491,97
1.0250943086763982,1491,97
1.025073292740431,1491,97
1.025052277666161,1491,97
1.0250312634535352,1491,97
1.0250102501025011,1491,97
1.024989237613005,1491,97
1.0249682259849944,1491,97
1.0249472152184163,1490,97
1.0249262053132175,1490,97
1.0249051962693452,1490,97
1.0248841880867463,1490,97
1.0248631807653679,1490,97
1.024842174305157,1490,97
1.0248211687060609,1490,97
1.0248001639680262,1490,97
1.0247791600910003,1490,97
1.0247581570749302,1490,97
1.024737154919763,1489,97
1.0247161536254457,1489,97
1.0246951531919255,1489,97
1.024674153619149,1489,97
1.0246531549070639,1489,97
1.024632157055617,1489,97
1.0246111600647554,1489,97
1.0245901639344261,1489,97
1.0245691686645766,1488,97
1.0245481742551534,1488,97
1.024527180706104,1488,97
1.0245061880173756,1488,97
1.024485196188915,1488,97
