event_id,start_date,end_date,duration_days,n_active_cells,footprint_area_km2,peak_hail_max_in,peak_hail_mean_in,centroid_lat,centroid_lon
1076,2012-07-06,2012-07-06,1,1,770.06,1.1200000047683716,1.1200000047683716,41.0,-85.75
1077,2012-07-07,2012-07-07,1,7,5390.42,1.8700000047683716,1.441428542137146,41.732,-78.0
1078,2012-07-08,2012-07-08,1,9,6930.539999999999,1.8700000047683716,1.4533333778381348,37.943,-90.248
1079,2012-07-09,2012-07-09,1,1,770.06,1.1200000047683716,1.1200000047683716,37.25,-78.75
1080,2012-07-10,2012-07-10,1,2,1540.12,1.1200000047683716,1.1200000047683716,34.0,-84.75
1081,2012-07-12,2012-07-13,2,20,15401.199999999999,2.119999885559082,1.257500171661377,45.189,-99.644
1082,2012-07-14,2012-07-14,1,2,1540.12,1.1200000047683716,1.1200000047683716,44.625,-93.625
1083,2012-07-15,2012-07-15,1,3,2310.18,1.8700000047683716,1.3700000047683716,42.708,-80.876
1084,2012-07-16,2012-07-16,1,4,3080.24,1.8700000047683716,1.5575000047683716,45.565,-103.555
1085,2012-07-18,2012-07-18,1,15,11550.9,2.119999885559082,1.5366668701171875,40.071,-84.374
1086,2012-07-19,2012-07-19,1,5,3850.2999999999997,1.1200000047683716,1.1200000047683716,42.45,-91.6
1087,2012-07-21,2012-07-21,1,2,1540.12,1.1200000047683716,1.1200000047683716,47.875,-106.0
1088,2012-07-22,2012-07-22,1,11,8470.66,1.8700000047683716,1.5063636302947998,46.955,-98.105
1089,2012-07-23,2012-07-23,1,21,16171.259999999998,2.619999885559082,1.5009524822235107,42.909,-79.445
1090,2012-07-25,2012-07-25,1,19,14631.14,2.119999885559082,1.488421082496643,42.254,-95.756
1091,2012-07-26,2012-07-26,1,14,10780.84,2.119999885559082,1.2985714673995972,40.473,-87.467
1092,2012-07-27,2012-07-27,1,5,3850.2999999999997,1.1200000047683716,1.1200000047683716,39.2,-84.0
1093,2012-07-29,2012-07-29,1,4,3080.24,1.1200000047683716,1.1200000047683716,48.188,-95.625
1094,2012-07-30,2012-08-01,3,34,26182.039999999997,2.119999885559082,1.3258821964263916,41.183,-88.365
1095,2012-08-02,2012-08-02,1,17,13091.019999999999,2.869999885559082,1.399411678314209,36.873,-86.521
1096,2012-08-03,2012-08-03,1,20,15401.199999999999,2.619999885559082,1.5200001001358032,44.616,-99.649
1097,2012-08-04,2012-08-04,1,7,5390.42,1.6200000047683716,1.191428542137146,40.742,-86.345
1098,2012-08-06,2012-08-06,1,1,770.06,1.3700000047683716,1.3700000047683716,41.5,-101.0
1099,2012-08-07,2012-08-07,1,6,4620.36,1.8700000047683716,1.4950000047683716,39.156,-97.771
1100,2012-08-08,2012-08-09,2,49,37732.939999999995,2.869999885559082,1.4057142734527588,39.882,-87.789
1101,2012-08-10,2012-08-10,1,2,1540.12,1.6200000047683716,1.3700000047683716,36.518,-96.951
1102,2012-08-11,2012-08-11,1,4,3080.24,1.1200000047683716,1.1200000047683716,41.875,-101.25
1103,2012-08-12,2012-08-12,1,2,1540.12,1.3700000047683716,1.3700000047683716,35.75,-95.25
1104,2012-08-13,2012-08-13,1,13,10010.779999999999,1.8700000047683716,1.312307596206665,40.248,-98.879
1105,2012-08-14,2012-08-14,1,4,3080.24,1.1200000047683716,1.1200000047683716,39.188,-77.812
1106,2012-08-15,2012-08-15,1,10,7700.599999999999,1.8700000047683716,1.2949999570846558,42.522,-91.588
